id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
48371552,Spike Island - Perfect harbourside apartment,78402433,Joseph,,Hotwells & Harbourside,51.44657,-2.6112,Entire home/apt,89,3,8,2021-06-28,2.55,2,203
48400654,"King-sized bed , Bedminster, Bristol",35116208,Helen,,Bedminster,51.43533,-2.61142,Private room,29,2,8,2021-07-04,2.58,3,84
48416865,Harford House- Studio Stone Throw Away From O2 Academy,65192629,Hopewell,,Central,51.45367,-2.59964,Entire home/apt,84,1,4,2021-05-13,1.01,122,0
48548701,Student Only Property: Spotless Basic Studio,226804666,,,Central,51.46105,-2.59238,Entire home/apt,38,1,0,,,50,358
48548723,Student Only Property: Fanciest Classic Studio,226804666,,,Central,51.46155,-2.59215,Entire home/apt,45,1,0,,,50,358
48548737,Student Only Property: Classy Premium Range 1 Studio,226804666,,,Central,51.46062,-2.59405,Entire home/apt,43,1,0,,,50,358
48580634,Beautiful 2 bed flat in Clifton,391936404,Jennifer,,Clifton,51.45203,-2.62163,Entire home/apt,60,3,7,2021-06-20,1.86,1,4
48624735,Double Room near Gloucester road & St Andrews Park,2730261,Juliet,,Ashley,51.4714,-2.58787,Private room,38,2,12,2021-07-12,4.34,1,327
48686202,The Little Lodge,392784181,Hannah,,Avonmouth & Lawrence Weston,51.49252,-2.64719,Entire home/apt,102,1,43,2021-07-10,11.03,1,95
48695745,Student Only Property: Contiguous Classic Studio - LOS 12 months 10% off,226804666,,,Central,51.46129,-2.59321,Entire home/apt,40,1,0,,,50,358
48695807,Student Only Property: First Class Premium Range 1 Studio - LOS 12 months 10% off,226804666,,,Central,51.45964,-2.59225,Entire home/apt,38,1,0,,,50,358
48695821,Student Only Property: Sophisticated Basic Studio - LOS 12 months 10% off,226804666,,,Central,51.46139,-2.59382,Entire home/apt,35,1,0,,,50,358
48696875,Student Only Property: Pretty Premium Range 1 Studio - LOS 12 months 10% off,226804666,,,Central,51.45975,-2.59323,Entire home/apt,38,360,0,,,50,358
48696902,Student Only Property: Comfy Classic Studio - LOS 12 months 10% off,226804666,,,Central,51.46113,-2.59244,Entire home/apt,40,360,0,,,50,358
48696977,Student Only Property: Tidy Basic Studio - LOS 12 months 10% off,226804666,,,Central,51.46061,-2.59266,Entire home/apt,35,360,0,,,50,358
48707074,Gorgeous 2 bed apartment in Bristol City Centre,380422424,Rebecca,,Central,51.45422,-2.59725,Entire home/apt,126,1,13,2021-06-20,3.51,2,259
48795423,Short term lets from £18 per person/ per night,382836301,Dave,,Eastville,51.47513,-2.54846,Entire home/apt,185,2,1,2021-05-23,0.55,4,201
48799047,Student Only Property: Exclusive Studio - 12 months LOS/10%OFF,226804666,,,Central,51.45496,-2.59603,Entire home/apt,34,1,0,,,50,0
48799125,Student Only Property: Sunny 2 Bed Flat - 12 months/ 10%OFF,226804666,,,Central,51.45609,-2.59675,Entire home/apt,32,1,0,,,50,0
48799166,Student Only Property: Fashioned Studio - 12 months/ 10%OFF,226804666,,,Central,51.45483,-2.5962,Entire home/apt,34,1,0,,,50,0
48799213,Student Only Property: Immaculate 3 Bedroom Flat - 12 months LOS/10%OFF,226804666,,,Central,51.45492,-2.59546,Entire home/apt,30,1,0,,,50,0
48799247,Student Only Property: En-suite Studio Penthouse - 12 months LOS/10%OFF,226804666,,,Central,51.45367,-2.59747,Entire home/apt,36,1,0,,,50,0
